198.41-9.3j,198.79-8.97j,198.37-8.92j,198.6-9.12j,198.69-9.47j,198.77-8.83j,198.52-8.92j,198.87-9.09j,198.31-9.04j,198.99-9.26j,198.66-8.96j,198.87-9.35j,198.08-8.7j,198.94-9.22j,198.64-8.98j,198.9-9.12j,198.83-8.82j,198.68-9.28j,198.73-9.02j,199.96-9.46j,198.29-8.8j,198.82-8.91j,198.85-9.14j,199.87-9.22j,199.39-8.62j,199.27-9.28j,198.83-9.05j,199.05-8.89j,198.25-9.26j,199.04-9j,330.11-9.29j,330.33-9.35j,329.87-9.18j,330.19-9.59j,330.36-9.27j,330.27-9.3j,330.32-9.05j,330.88-9.12j,330.67-9.11j,330.61-9.57j,331.13-9.37j,331.16-9.47j,331.08-9.4j,331.08-9.52j,330.46-9.08j,331.28-9.31j,330.41-9.06j,330.3-9.23j,330.64-9.12j,330.75-9.48j
198.42-9.22j,198.57-9.29j,198.24-9.14j,198.57-9.33j,199.24-9.67j,198.63-9.18j,198.4-9.24j,198.55-9.06j,198.54-9.18j,198.67-9.25j,198.5-9.31j,198.69-9.14j,198.59-9.33j,198.44-9.36j,198.57-9.29j,198.64-9.21j,198.73-9.15j,198.05-9.24j,198.2-9j,199.07-9.62j,198.95-9.8j,198.89-9.01j,198.73-9.01j,199.56-9.62j,199.41-9.63j,198.8-9.25j,198.51-8.59j,199.54-9.68j,198.64-9.19j,198.74-9.36j,329.77-9.32j,330-9.41j,329.77-9.44j,329.98-9.39j,330.14-9.33j,330.17-9.4j,330.07-9.29j,330.51-9.41j,330.47-9.3j,330.44-9.39j,330.9-9.35j,331.13-9.48j,330.75-9.53j,330.99-9.37j,330.65-9.35j,330.98-9.43j,330.68-9.45j,330.38-9.35j,330.38-9.41j,330.76-9.39j
198.15-9.18j,198.67-9.19j,198.37-9.34j,198.33-9.29j,198.65-9.62j,198.34-9.29j,198.34-9.37j,198.41-9.19j,198.22-9.22j,198.45-9.34j,198.41-9.43j,198.47-9.27j,198.25-9.32j,198.54-9.07j,198.45-9.5j,198.57-9.22j,198.65-9.5j,198.4-9.22j,198.46-9.63j,198.02-9.46j,199.29-8.79j,198.73-9.52j,198.49-9.4j,199.46-8.95j,199.01-8.82j,199.08-9.21j,198.43-9.34j,198.76-9.39j,198.94-8.74j,198.69-9.3j,329.69-9.55j,330.03-9.52j,329.78-9.52j,329.93-9.36j,330.03-9.47j,330.1-9.53j,330.2-9.39j,330.46-9.55j,330.46-9.56j,330.52-9.52j,331-9.53j,331.14-9.57j,330.72-9.47j,330.99-9.52j,330.67-9.56j,330.94-9.5j,330.58-9.49j,330.28-9.51j,330.55-9.5j,330.68-9.52j
198.15-8.91j,198.62-9.7j,197.93-9.12j,198.09-9.1j,198.85-9.16j,198.22-9.51j,198.19-9.52j,198.65-9.48j,198.62-9.53j,198.32-9.55j,198.79-9.38j,198.38-9.39j,198.35-9.48j,198.39-9.62j,198.32-9.02j,198.24-9.66j,198.39-9.09j,198.28-9.55j,197.9-8.8j,198.41-8.77j,199.4-9.07j,198.4-9.38j,198.46-8.32j,198.33-8.43j,198.56-9.29j,198.69-9.89j,198.94-9.4j,198-9.27j,198.36-9.16j,198.84-9.4j,330-9.66j,330.2-9.46j,329.43-9.53j,329.64-9.5j,330.04-9.55j,329.82-9.24j,330.15-9.6j,330.26-9.55j,330.32-9.26j,330.13-9.62j,331.06-9.41j,330.84-9.41j,330.65-9.64j,330.83-9.78j,330.58-9.76j,331.08-9.48j,330.45-9.71j,330.2-9.54j,330.29-9.38j,330.62-9.73j
198.15-9.33j,198.62-9.4j,197.99-9.69j,198.37-9.86j,198.21-10.13j,198.17-9.45j,197.86-9.11j,198.52-9.57j,197.96-9.89j,198.29-9.61j,197.38-9.32j,198.29-9.57j,197.83-9.4j,198.47-9.5j,198.32-9.63j,198.46-9.57j,198.63-9.61j,197.95-9.04j,198.94-9.72j,198.76-10.36j,197.87-9.07j,198.21-9.92j,199.28-9.09j,198.21-9.98j,198.58-9.85j,198.71-8.8j,198.07-9.71j,198.39-9.56j,197.99-9.23j,198.44-9.34j,329.49-9.75j,329.69-9.49j,329.41-9.44j,329.6-9.91j,329.63-9.74j,329.54-9.68j,329.81-9.94j,330.42-9.92j,330.43-9.58j,330.16-9.83j,330.79-9.89j,330.79-9.86j,330.43-9.89j,330.92-9.9j,330.21-9.76j,330.74-9.48j,330.21-9.63j,330.23-9.87j,330.45-9.45j,330.76-9.69j
198.06-9.56j,198.31-9.68j,198.05-9.55j,198.13-9.66j,197.31-9.19j,198.24-9.78j,198.07-9.54j,197.82-9.14j,197.96-9.56j,198.17-9.58j,199.02-9.62j,198.16-9.76j,198.26-9.84j,198.16-9.3j,198.69-9.6j,198.21-9.57j,198.21-9.39j,198.04-10.26j,197.92-9.39j,198.75-9.02j,198.5-9.22j,197.83-9.36j,198.11-9.91j,198.68-9.78j,198.71-9.44j,198.44-9.7j,199.06-10.11j,198.36-9.61j,198.56-10.02j,198.42-9.81j,329.61-9.59j,329.65-9.79j,329.37-9.74j,329.53-9.78j,329.64-9.81j,329.78-9.7j,329.77-9.76j,330.13-9.74j,330.12-9.84j,330.09-9.78j,330.52-9.85j,330.71-9.8j,330.29-9.84j,330.63-9.85j,330.15-9.81j,330.57-9.79j,330.18-9.79j,330.07-9.77j,330.14-9.77j,330.41-9.77j
198.09-10.09j,198.05-9.88j,197.86-9.75j,197.81-10.09j,197.28-9.7j,198.07-9.76j,198.13-9.73j,197.74-10.41j,197.83-9.7j,197.8-9.82j,198.1-10.37j,197.84-9.52j,198.61-9.4j,198.06-10.49j,198.21-10.14j,198.08-9.6j,198.14-9.8j,197.09-10.1j,197.79-9.73j,197.8-9.96j,198.11-9.71j,198.42-9.06j,198.67-9.3j,197.79-9.82j,198.8-10.2j,199.02-9.35j,198.27-9.64j,198.46-10.12j,198.46-10.14j,197.86-9.67j,329.5-9.83j,329.51-9.91j,329.29-9.9j,329.49-9.91j,329.51-9.84j,329.67-9.91j,329.61-9.85j,330.06-9.87j,329.92-9.87j,329.95-9.87j,330.29-10.04j,330.67-9.97j,330.26-9.9j,330.6-9.9j,330.16-9.84j,330.46-9.91j,330.07-10.03j,329.98-9.94j,330-9.9j,330.35-9.88j
197.96-9.71j,198.04-9.96j,197.41-9.69j,197.85-9.72j,197.22-9.65j,197.62-9.68j,197.65-9.56j,197.56-9.14j,197.93-9.68j,198.1-9.82j,197.63-9.24j,197.87-10.01j,197.75-9.79j,197.97-9.37j,198.03-9.71j,198.12-9.88j,197.69-9.94j,197.87-9.8j,197.91-8.96j,198.04-9.76j,198.27-10.1j,198.09-9.73j,198.6-10.5j,198-9.72j,197.94-9.26j,198.52-10.57j,198.35-10.09j,197.92-9.77j,197.78-9.47j,198.17-9.94j,329.37-10.03j,329.43-9.91j,329.3-9.98j,329.24-9.96j,329.51-9.98j,329.47-9.92j,329.58-9.97j,329.91-9.9j,329.84-9.87j,329.84-9.91j,330.34-10.03j,330.53-10.01j,330.18-9.94j,330.36-9.89j,330.08-9.95j,330.36-10.03j,330.09-9.91j,329.91-9.98j,329.82-10.06j,330.15-9.9j
197.85-10.22j,197.85-10.1j,197.74-9.87j,197.77-10.06j,198.25-10.45j,197.9-10.12j,198.37-10.06j,198.12-9.35j,197.77-10.42j,197.91-10.04j,197.19-10.65j,198.07-10.18j,197.53-9.96j,198.59-9.8j,197.71-10.13j,197.8-9.98j,197.86-10.28j,197.31-10.25j,197.29-10.05j,197.92-9.92j,198.15-9.71j,198.05-10.36j,197.88-9.38j,197.74-9.69j,198.11-9.66j,198.01-10.47j,198.17-10.16j,198.26-9.95j,197.73-9.43j,198.24-10.06j,329.14-10.07j,329.26-10.07j,329.11-10.08j,329.17-10.11j,329.26-10j,329.37-10.06j,329.48-10.01j,329.79-10.01j,329.79-10.03j,329.76-10.09j,330.3-10.12j,330.35-10.05j,330.04-10.04j,330.24-10.02j,329.8-10.1j,330.17-10.07j,329.88-10.09j,329.7-10.08j,329.65-9.97j,330.01-10j
197.46-10.24j,197.66-9.93j,197.35-9.51j,197.49-10.23j,198.16-9.56j,197.07-10.38j,197.64-10.09j,197.68-9.34j,197.44-9.69j,197.48-10.43j,197.85-10.35j,197.83-10.14j,197.65-10.47j,198.08-9.46j,198-9.95j,197.9-10.24j,198.06-10.81j,196.82-9.57j,197.3-10.98j,197.58-10.16j,197.67-10.34j,197.53-9.28j,198.52-10.09j,198.05-10.08j,197.85-10.36j,198.24-9.27j,197.82-9.83j,197.73-10.42j,197.98-10.38j,197.58-9.99j,329.08-10.21j,329.21-10.25j,329-10.17j,328.97-10.23j,329.14-10.24j,329.15-10.1j,329.31-10.26j,329.72-10.19j,329.73-10.2j,329.66-10.23j,330.11-10.24j,330.44-10.23j,329.77-10.16j,330.21-10.19j,329.78-10.23j,330.12-10.25j,329.82-10.27j,329.54-10.21j,329.68-10.23j,329.92-10.24j
197.32-10.57j,197.73-9.99j,198.07-10.84j,197.67-10.19j,198.19-9.61j,196.9-10.23j,197.37-9.9j,197.08-9.57j,197.52-10.4j,197.91-10.41j,197.4-10.28j,198.04-11.2j,197.34-10.3j,197.67-10.17j,197.97-10.06j,197.73-10.3j,197.68-10.08j,197.81-10.65j,197.98-10.18j,197.66-11.05j,197.91-10.13j,197.54-11.03j,198.61-10.92j,198.41-10.68j,198.1-10.39j,197.16-9.59j,197.76-10.09j,197.96-10.55j,197.27-10j,197.55-10.75j,328.85-10.3j,328.87-10.08j,329.24-10.02j,328.99-10.29j,328.96-10.24j,329.17-10.43j,329.26-10.19j,329.89-10.23j,329.73-10.4j,329.66-10.33j,330.14-10.5j,330.29-10.45j,329.75-10.32j,330.3-10.06j,329.57-10.08j,329.86-10.26j,329.72-10.13j,329.83-10.2j,329.79-10.35j,330.09-10.14j
