653.52-26.18j,653.9-26.34j,654.63-25.31j,654.64-25.93j,654.92-25.47j,654.58-26.97j,654.4-25.88j,655.76-26.86j,653.79-26.18j,654.66-25.91j,654.29-25.67j,653.08-26.62j,654.36-25.87j,655.09-26.22j,653.51-26.38j,653.83-26.03j,653.34-26.01j,654.4-27.11j,654.03-26.72j,654.46-25.95j,653.49-25.84j,654.67-26.06j,654.04-25.71j,654.2-26.65j,653.07-26.53j,654.06-26.09j,653.64-26.11j,653.07-26.66j,653.28-25.33j,653.49-25.89j,650.82-25.79j,650.76-26.7j,650.59-26.33j,650.38-26.92j,651.95-26.56j,651.16-26.92j,651.26-26.49j,651.86-26.24j,651.99-26.55j,650.68-26.28j,651.77-26.05j,650.89-26.94j,650.62-26.07j,651.73-27.05j,651.33-26.65j,651.01-26.48j,651.3-26.79j,651.45-27.06j,650.64-25.89j,651.43-26.35j,651.12-25.47j,651.24-26.99j,650.62-26.4j,649.79-26.95j,649.27-26.24j,651.52-26.85j,650.16-26.27j,651.6-27.14j,649.77-26.59j,651.13-26.14j,656.69-25.92j,656.18-27.31j,655.53-27.2j,656.91-27.36j,655.85-27.17j,657.82-26.81j,656.96-27.23j,657.05-26.9j,657.51-27j,657.56-27.43j,655.92-26.47j,657.72-26.26j,657.19-27.06j,657.59-27.14j,656.43-26.23j,657.67-27.4j,657.32-27.02j,657.44-26.18j,657.68-26.45j,657.1-26.45j,657.05-25.99j,658.05-26.61j,656.96-26.8j,656.71-26.35j,657.86-25.82j,657.76-26.31j,657.84-26.71j,657.71-26.72j,655.64-26.82j,657.28-26.98j,485.86-16.74j,492.47-18.37j,491.8-18.89j,486.51-16.65j,485.86-15.76j,485.59-17.23j,485.29-16.4j,486-17.55j,484.6-16.9j,485.71-17.46j,484.83-16.8j,485.1-17.34j,485.02-16.58j,485.82-16.98j,484.65-17.03j,485.73-17.02j,485.49-16.52j,485.87-17.26j,485.29-17.29j,485.53-16.97j,484.67-17.23j,485.51-16.99j,484.64-17.01j,485.54-17.46j,485.62-17.2j,485.07-16.8j,484.59-17.03j,485.36-16.54j,484.54-16.7j,485.25-17.19j,485.28-16.42j,484.38-16.26j,484.67-16.75j,484.92-17.22j,484.84-16.13j,484.34-16.3j,484.6-16.2j,484.5-16.09j,484.16-15.35j,484.5-15.66j,484.72-15.59j,484.38-16.19j,483.08-15.79j,484.41-16.58j,484.28-15.17j,484.56-15.94j,484.73-15.46j,484.22-15.97j,483.52-16.33j,483.76-15.77j
653.97-26.63j,653.81-26.59j,653.96-26.55j,654.01-26.8j,654.87-26.88j,654.35-26.9j,654.62-26.91j,655.59-26.82j,653.09-26.69j,653.9-26.85j,653.92-26.9j,653.24-26.89j,653.86-26.95j,654.26-27.06j,654.11-27.14j,653.9-27.06j,654.1-27.1j,654.06-27.04j,653.95-27.08j,654.04-26.99j,653.63-26.96j,653.93-26.98j,653.9-26.93j,653.26-26.92j,653.12-26.94j,653.56-26.98j,652.94-26.69j,653.18-26.92j,653.45-26.9j,652.81-26.85j,650.52-26.94j,650.89-27.09j,650.95-26.99j,650.27-26.86j,651.28-26.89j,651.06-27.06j,651.55-27.08j,651.13-27.08j,651.45-27.02j,650.65-27.04j,650.97-27.08j,650.47-27.05j,651.19-27.03j,651.18-27j,650.89-27.01j,651.16-27.01j,650.9-26.94j,650.72-27.2j,650.78-27.02j,651.5-26.98j,650.7-27.06j,651.06-27.19j,650.87-27.05j,649.8-27.04j,650.18-27j,650.69-27.04j,650.91-27.02j,650.87-27.11j,650.34-27.11j,651.18-27.05j,656.27-27.24j,655.93-27.26j,655.94-27.32j,656.21-27.4j,655.85-27.3j,656.89-27.38j,656.98-27.33j,657.05-27.34j,657.48-27.27j,657.34-27.39j,656.26-27.45j,657.48-27.38j,656.53-27.26j,656.62-27.34j,656.74-27.43j,657.06-27.24j,656.55-27.28j,656.82-27.34j,657.18-27.31j,657.16-27.33j,656.55-27.32j,657.93-27.29j,656.37-27.2j,656.24-27.35j,657.29-27.36j,657.12-27.35j,657.23-27.3j,656.9-27.47j,656.05-27.41j,656.37-27.34j,485.58-17.54j,492.39-19.24j,491.37-19.08j,486.26-17.35j,485.66-17.4j,485.38-17.64j,485.69-17.79j,485.68-17.73j,485.31-17.75j,485.61-17.75j,485.65-17.85j,485.09-17.71j,484.85-17.45j,485.13-17.82j,485.19-17.67j,485.43-17.82j,484.97-17.61j,485.28-17.71j,485.42-17.7j,484.94-17.71j,484.65-17.67j,484.74-17.56j,485.1-17.41j,485.25-17.71j,484.96-17.7j,484.7-17.73j,484.96-17.7j,485.34-17.49j,484.88-17.77j,484.77-17.54j,484.69-17.52j,484.05-17.25j,484.34-17.25j,484.85-17.41j,484.42-17.15j,484.09-16.95j,484.13-17.17j,484.21-16.73j,483.77-16.57j,484.35-16.71j,484.11-16.59j,483.47-16.78j,483.82-16.66j,484.1-16.87j,483.78-16.77j,484.29-16.81j,484.16-16.6j,483.71-16.87j,483.77-16.55j,483.76-16.72j
653.79-26.95j,653.61-26.94j,653.8-26.87j,653.72-27.04j,654.58-27.17j,654.04-27.19j,654.34-27.18j,655.17-27.14j,652.9-27.08j,653.66-27.22j,653.75-27.19j,653.05-27.2j,653.55-27.29j,654.01-27.3j,653.84-27.29j,653.67-27.19j,653.82-27.3j,653.73-27.45j,653.73-27.25j,653.76-27.39j,653.31-27.28j,653.53-27.23j,653.69-27.21j,653.01-27.26j,652.97-27.2j,653.16-27.32j,652.76-27.27j,652.86-27.19j,653.26-27.34j,652.49-27.23j,650.37-27.38j,650.66-27.35j,650.72-27.39j,649.95-27.25j,651.07-27.26j,650.87-27.36j,651.24-27.44j,650.84-27.39j,651.22-27.4j,650.41-27.33j,650.71-27.36j,650.25-27.27j,651.01-27.3j,650.84-27.35j,650.67-27.38j,650.91-27.37j,650.77-27.33j,650.55-27.38j,650.57-27.37j,651.25-27.5j,650.59-27.29j,650.88-27.43j,650.75-27.33j,649.44-27.3j,649.96-27.19j,650.55-27.39j,650.64-27.37j,650.6-27.39j,649.96-27.31j,650.79-27.4j,656.03-27.59j,655.74-27.6j,655.6-27.55j,656.01-27.78j,655.57-27.55j,656.51-27.66j,656.66-27.69j,656.88-27.69j,657.15-27.7j,657.12-27.66j,656.06-27.62j,657.21-27.71j,656.32-27.67j,656.35-27.63j,656.57-27.59j,656.88-27.57j,656.37-27.71j,656.57-27.49j,656.87-27.72j,656.86-27.62j,656.41-27.54j,657.69-27.59j,656.13-27.58j,655.98-27.71j,657.2-27.65j,656.79-27.78j,657.02-27.69j,656.63-27.67j,655.7-27.6j,656.15-27.64j,485.2-17.88j,492.1-19.8j,491.07-19.78j,485.91-17.83j,485.62-17.85j,485.17-18.23j,485.34-18.19j,485.25-18.33j,485.29-18.21j,485.35-18.54j,485.29-18.36j,484.75-18.22j,484.56-18.14j,484.81-18.36j,484.9-18.26j,485.05-18.32j,484.89-18.19j,485.08-18.44j,485.08-18.37j,484.67-18.26j,484.27-18.08j,484.55-18.19j,484.73-18.21j,484.99-18.16j,484.74-18.15j,484.34-17.83j,484.7-18.14j,484.75-18.14j,484.34-18.08j,484.54-17.85j,484.53-18.05j,483.96-17.85j,484.2-17.7j,484.54-18.02j,484.42-17.63j,483.82-17.79j,484.03-17.71j,483.8-17.17j,483.64-17.09j,483.89-17.08j,484.06-17.06j,483.14-17.16j,483.42-17.18j,483.93-17.15j,483.56-17.18j,483.82-17.32j,484.07-17.16j,483.53-17.2j,483.58-17.27j,483.5-17.21j
653.64-27.73j,652.9-26.95j,653.47-26.85j,653.64-26.59j,653.98-27.36j,653.56-27.75j,653.49-27.42j,654.43-27.49j,652.99-26.85j,653.92-27.46j,653.1-27.19j,652.46-27.38j,653.21-26.99j,654.38-27.23j,653.51-27.98j,653.39-27.08j,653.63-28.11j,653-27.86j,653.97-27.94j,653.95-27.38j,653.69-27.57j,653.68-27.71j,653.06-27.07j,652.94-27.91j,652.64-26.82j,653.69-27.18j,652.94-27.47j,652.23-27.24j,652.71-27.65j,652.47-27.03j,649.61-27.16j,650.04-27.65j,650.08-27.89j,649.22-27.28j,651.33-27.21j,649.96-27.77j,651.05-28.07j,651.06-27.24j,651.3-27.92j,650.2-26.95j,650.92-26.99j,649.82-28.04j,650.62-27.87j,650.75-27.95j,650.88-27.64j,650.2-27.03j,650.81-27.29j,650.24-28.08j,649.9-27.64j,650.91-27.36j,650.06-27.39j,650.41-28j,650.26-27.93j,648.83-27.74j,649.5-28.04j,650.44-27.88j,650.99-27.36j,650.63-28.11j,650.13-28j,650.51-27.14j,655.69-27.48j,654.98-28.07j,655.93-27.96j,656.02-28.39j,656-27.76j,656.54-28.3j,656.89-28.37j,656.19-27.57j,656.87-28.43j,656.56-28.27j,655.55-28.27j,657-27.36j,656.63-27.64j,656.06-28.42j,656.86-28.17j,656.51-28.37j,656.66-27.5j,656.8-27.74j,657.3-27.87j,656.45-27.56j,655.74-27.56j,657.64-27.24j,656.4-27.46j,656.27-27.51j,656.87-27.6j,656.96-27.71j,657.15-27.4j,656.95-27.77j,655.73-28.34j,656.26-28.02j,484.89-17.78j,491.96-19.4j,491.24-19.83j,486.26-17.77j,485.65-17.86j,484.44-18.26j,485.27-18.91j,485.16-18.72j,485.03-18.8j,485.05-18.83j,484.84-18.72j,484.22-18.11j,484.46-18.6j,484.84-18.34j,484.78-18.66j,485.19-17.99j,484.58-18.11j,485.12-18.73j,484.53-18.86j,484.54-18.58j,484.5-18.67j,484.74-18.45j,484.66-18.81j,484.38-18.23j,484.66-18.62j,484.55-18.08j,484.51-18.65j,484.95-17.91j,484.1-18.5j,485.02-18.17j,484.49-17.94j,483.73-18.2j,484.47-17.87j,484.68-18.2j,484.13-17.49j,483.44-18.04j,484.02-17.43j,483.9-17.5j,483.36-17.05j,483.82-17.28j,483.98-17.12j,483.43-17.22j,483.38-17.64j,483.2-17.46j,483.44-17.28j,483.93-17.36j,483.51-17.08j,483.7-17.17j,483.63-17.47j,483.28-17.04j
652.74-27.64j,652.92-28.01j,653.64-27.67j,652.74-27.56j,654.07-27.31j,653.89-28.28j,653.75-27.14j,654.77-28.24j,652.9-27.9j,653.1-27.43j,653.84-27.58j,652.39-28.4j,653.55-27.68j,653.35-27.44j,652.81-27.87j,652.62-28.07j,652.97-27.96j,653.44-28.44j,652.84-28.35j,652.91-27.71j,652.96-28.56j,653.32-27.49j,653.5-27.36j,652.85-27.86j,653.08-27.56j,652.58-27.42j,652.07-28.48j,652.21-28.23j,652.64-27.49j,651.55-27.68j,649.96-27.45j,650.2-28.49j,649.68-27.57j,649.31-28.45j,651.02-28.31j,650.27-28.58j,650.2-28.01j,650.02-27.36j,650.29-28.51j,649.27-27.84j,650.82-28.03j,650.25-28.37j,650.06-27.94j,650.72-27.99j,650-28.64j,649.85-28.5j,650.3-28.4j,650.51-28.14j,650.3-27.41j,650.15-28.36j,650.3-27.72j,650.81-28.32j,649.86-27.64j,649.14-28.39j,648.93-27.76j,650.47-27.85j,650.47-28.47j,650.37-27.87j,649.15-28.27j,649.89-28.2j,655.96-28.37j,655.44-28.78j,655.02-28.87j,656.05-28.21j,655.25-28.76j,656.3-28.09j,655.86-28.83j,655.85-28.66j,656.26-28j,656.96-28.8j,654.83-28.09j,656.89-28.68j,656.01-28.87j,656.31-28.5j,655.95-28.84j,656.82-28.42j,656.16-28.78j,655.89-27.98j,656.63-28.85j,655.97-28.55j,656-27.76j,656.71-28.31j,656-28.67j,655.32-27.7j,656.98-28.21j,656.08-27.99j,657.02-28.51j,655.97-27.89j,654.8-28.37j,655.74-27.91j,484.88-18.69j,491.38-20.68j,490.95-20.65j,485.25-18.02j,485.58-18.71j,484.55-19.15j,484.41-19.36j,485.27-18.95j,484.28-19.09j,485.28-19.25j,484.79-18.85j,484.22-19.23j,484.07-19.37j,484.15-18.97j,484.23-19.24j,484.32-19.14j,484.76-18.78j,484.87-18.63j,484.39-18.87j,484.24-18.52j,483.55-19.22j,484.14-18.76j,483.9-19.14j,484.46-19.29j,483.89-18.94j,483.6-18.71j,483.89-18.91j,483.99-18.56j,483.56-18.75j,484.33-18.27j,484.35-18.84j,483.56-18.36j,483.58-18.84j,484.55-18.25j,484.25-18.67j,483.42-18.84j,484.03-18.44j,483.56-17.9j,483.47-17.92j,483.32-18.05j,483.89-18j,482.61-17.64j,482.58-17.98j,483.4-18.28j,483.44-17.75j,483.28-17.56j,483.87-18.2j,482.97-17.49j,482.88-18.33j,482.71-17.97j
652.88-28.11j,652.75-28.01j,652.76-28.2j,652.8-28.18j,653.6-28.33j,653.11-28.32j,653.38-28.3j,654.3-28.27j,651.86-28.31j,652.87-28.45j,652.8-28.35j,652.01-28.46j,652.6-28.51j,653.17-28.26j,652.83-28.5j,652.65-28.41j,652.9-28.43j,652.78-28.38j,652.84-28.4j,652.81-28.56j,652.36-28.44j,652.57-28.42j,652.81-28.37j,652.17-28.29j,651.95-28.35j,652.45-28.34j,651.72-28.4j,652.06-28.47j,652.35-28.32j,651.62-28.38j,649.4-28.46j,649.62-28.42j,649.75-28.44j,649.06-28.4j,650.16-28.55j,649.71-28.56j,650.31-28.43j,649.85-28.54j,650.3-28.57j,649.41-28.49j,649.83-28.41j,649.32-28.46j,650.09-28.49j,649.86-28.63j,649.51-28.51j,649.85-28.6j,649.71-28.53j,649.53-28.49j,649.72-28.42j,650.2-28.52j,649.53-28.66j,649.94-28.59j,649.77-28.51j,648.45-28.39j,648.92-28.5j,649.54-28.49j,649.76-28.49j,649.52-28.51j,649.09-28.46j,649.85-28.5j,655.07-28.92j,654.73-28.85j,654.66-28.83j,655.08-28.82j,654.67-28.73j,655.59-28.83j,655.67-28.83j,655.82-28.74j,656.3-28.83j,656.13-28.86j,655.1-28.8j,656.14-28.73j,655.2-28.74j,655.45-28.82j,655.44-28.84j,655.84-28.87j,655.3-28.84j,655.55-28.69j,655.85-28.82j,655.86-28.85j,655.45-28.8j,656.68-28.86j,655.01-28.71j,654.94-28.75j,656.13-28.76j,655.9-28.71j,655.99-28.69j,655.58-28.71j,654.84-28.76j,655.14-28.82j,484.58-19.4j,491.19-20.98j,490.02-21.09j,485.05-19.16j,484.58-19.28j,484.24-19.45j,484.57-19.5j,484.49-19.52j,484.24-19.5j,484.59-19.62j,484.51-19.54j,483.84-19.55j,483.63-19.61j,483.96-19.51j,484.07-19.64j,484.39-19.55j,484.04-19.62j,484.22-19.54j,484.61-19.67j,483.91-19.64j,483.31-19.45j,483.69-19.56j,483.66-19.61j,484.07-19.42j,483.92-19.4j,483.46-19.29j,483.74-19.36j,483.98-19.41j,483.67-19.39j,483.55-19.14j,483.73-19.43j,483.01-19.09j,483.32-19.15j,483.88-19.12j,483.38-19.06j,482.92-19.12j,483.09-19.15j,482.99-18.56j,482.57-18.5j,483.08-18.71j,483.27-18.45j,482.52-18.56j,482.52-18.51j,483.01-18.53j,482.92-18.69j,482.99-18.64j,483.03-18.63j,482.51-18.41j,482.55-18.76j,482.58-18.63j
652.62-28.48j,652.24-28.51j,652.52-28.52j,652.36-28.63j,653.24-28.94j,652.82-28.72j,653.05-28.86j,653.94-28.71j,651.57-28.74j,652.37-28.69j,652.54-28.69j,651.7-28.69j,652.26-28.92j,652.71-28.93j,652.57-28.83j,652.28-28.91j,652.49-28.71j,652.45-28.88j,652.55-28.82j,652.46-28.96j,651.97-28.89j,652.26-28.87j,652.42-28.84j,651.7-28.7j,651.62-28.74j,651.91-28.89j,651.4-28.77j,651.55-28.73j,652.06-28.85j,651.32-28.84j,649.14-28.9j,649.38-28.95j,649.35-28.96j,648.69-28.82j,649.76-28.93j,649.48-29.01j,649.93-28.89j,649.6-28.94j,649.79-29.03j,649.05-28.98j,649.46-28.93j,649.03-28.85j,649.86-28.91j,649.59-29.06j,649.22-28.89j,649.55-28.93j,649.31-28.91j,649.26-28.89j,649.15-28.97j,649.88-29j,649.1-29.01j,649.48-28.9j,649.55-28.94j,648.13-28.79j,648.59-28.82j,649.21-28.91j,649.43-28.84j,649.32-28.99j,648.76-28.97j,649.49-28.85j,654.81-29.3j,654.38-29.34j,654.34-29.16j,654.72-29.37j,654.17-29.19j,655.19-29.26j,655.3-29.26j,655.6-29.31j,655.87-29.23j,655.81-29.26j,654.77-29.16j,655.75-29.21j,654.91-29.3j,655.04-29.26j,655.17-29.3j,655.47-29.3j,654.91-29.29j,655.29-29.21j,655.56-29.22j,655.5-29.27j,654.97-29.21j,656.41-29.16j,654.62-29.29j,654.51-29.18j,655.74-29.23j,655.49-29.41j,655.68-29.27j,655.27-29.23j,654.53-29.15j,654.73-29.31j,484.13-19.91j,490.9-21.43j,489.83-21.38j,484.72-19.57j,484.64-19.9j,483.92-19.95j,484.2-19.95j,484.16-20.03j,484.03-20.07j,484.05-20.12j,484.34-20.1j,483.52-20.04j,483.3-19.98j,483.63-20.25j,483.77-20.14j,483.99-20.13j,483.62-20.32j,483.78-20.04j,483.76-20.3j,483.34-20.06j,483.05-20.04j,483.33-19.97j,483.37-20.12j,483.82-20.04j,483.44-20.07j,483.23-19.97j,483.2-19.96j,483.55-19.9j,483.36-19.98j,483.4-19.86j,483.27-19.89j,482.65-19.65j,482.9-19.68j,483.55-19.64j,482.87-19.71j,482.67-19.74j,482.83-19.56j,482.7-18.99j,482.19-19.06j,482.87-19.04j,482.77-19.31j,482.04-18.98j,482.09-19.23j,482.58-19.21j,482.47-19.21j,482.74-19.31j,482.84-19.26j,482.15-19.07j,482.36-19.17j,482.02-19.17j
652.24-28.85j,652.1-28.84j,652.2-28.71j,652.12-28.97j,653.02-29.01j,652.49-29.07j,652.74-29.15j,653.73-29.04j,651.17-29.11j,652.15-29.06j,652.23-29.18j,651.36-29.19j,652.07-29.21j,652.52-29.32j,652.25-29.31j,652.01-29.16j,652.44-29.17j,652.21-29.28j,652.19-29.29j,652.19-29.26j,651.64-29.26j,652.05-29.23j,652.08-29.11j,651.45-29.11j,651.3-29.03j,651.85-29.34j,651.09-29.14j,651.26-29.21j,651.79-29.15j,650.99-29.01j,648.87-29.34j,649-29.2j,649.1-29.24j,648.47-29.15j,649.33-29.17j,649.19-29.29j,649.7-29.3j,649.19-29.28j,649.57-29.25j,648.87-29.35j,649.17-29.27j,648.56-29.24j,649.49-29.33j,649.29-29.35j,648.99-29.19j,649.28-29.28j,649.05-29.36j,648.91-29.33j,648.97-29.12j,649.69-29.29j,648.97-29.2j,649.27-29.37j,649.13-29.35j,647.86-29.16j,648.3-29.3j,648.9-29.23j,649.11-29.26j,649.02-29.34j,648.5-29.28j,649.09-29.25j,654.49-29.6j,654.12-29.6j,653.99-29.57j,654.42-29.58j,654.04-29.49j,655.02-29.68j,655-29.69j,655.23-29.59j,655.57-29.73j,655.46-29.63j,654.41-29.65j,655.65-29.61j,654.67-29.57j,654.82-29.62j,654.99-29.51j,655.15-29.6j,654.64-29.67j,654.93-29.68j,655.23-29.67j,655.26-29.64j,654.7-29.56j,656.1-29.51j,654.31-29.57j,654.33-29.55j,655.45-29.66j,655.24-29.62j,655.4-29.64j,655.08-29.51j,654.3-29.65j,654.63-29.66j,483.95-20.28j,490.59-21.97j,489.51-21.92j,484.55-20j,484.14-20.13j,483.65-20.36j,483.94-20.55j,483.79-20.37j,483.61-20.37j,483.82-20.39j,483.87-20.26j,483.48-20.44j,483.27-20.46j,483.27-20.54j,483.41-20.4j,483.44-20.32j,483.26-20.34j,483.65-20.45j,483.96-20.45j,483.12-20.33j,482.84-20.31j,483.08-20.4j,483.27-20.46j,483.44-20.3j,483.34-20.4j,482.71-20.22j,483.18-20.62j,483.37-20.16j,483.3-20.1j,483.02-20.29j,482.96-20.08j,482.4-19.77j,482.62-19.92j,483.13-19.95j,482.78-20j,482.39-19.89j,482.44-20.12j,482.2-19.49j,482.06-19.28j,482.58-19.41j,482.52-19.5j,481.8-19.36j,481.74-19.45j,482.52-19.66j,482.2-19.61j,482.43-19.37j,482.41-19.33j,481.88-19.5j,481.97-19.53j,481.91-19.28j
651.85-29.16j,651.71-29.38j,652.06-29.28j,651.8-29.49j,652.63-29.57j,652.18-29.58j,652.39-29.56j,653.21-29.53j,650.87-29.37j,651.78-29.6j,651.75-29.61j,651.05-29.65j,651.6-29.77j,652-29.59j,651.72-29.69j,651.82-29.7j,651.87-29.71j,651.8-29.62j,651.71-29.67j,651.72-29.73j,651.33-29.61j,651.45-29.59j,651.86-29.68j,651.08-29.61j,651.16-29.5j,651.39-29.62j,650.7-29.59j,650.89-29.51j,651.27-29.59j,650.39-29.65j,648.53-29.73j,648.6-29.7j,648.68-29.84j,647.93-29.72j,649.04-29.7j,648.71-29.8j,649.23-29.86j,648.92-29.73j,649.12-29.64j,648.42-29.74j,648.89-29.87j,648.3-29.72j,649.05-29.66j,648.87-29.65j,648.44-29.77j,648.81-29.81j,648.75-29.92j,648.47-29.7j,648.67-29.8j,649.06-29.8j,648.5-29.77j,648.89-29.66j,648.78-29.61j,647.47-29.67j,647.86-29.79j,648.5-29.71j,648.74-29.81j,648.66-29.68j,648.12-29.65j,648.88-29.61j,654.1-30.05j,653.69-30.09j,653.63-30.07j,654.04-30.18j,653.52-30.03j,654.41-29.94j,654.65-30.11j,654.83-30.09j,655.19-30j,655.08-30.12j,654.01-30.1j,655.03-30.07j,654.21-29.97j,654.4-30.03j,654.5-29.95j,654.86-30.01j,654.39-29.98j,654.6-29.98j,654.88-30.06j,654.8-30.11j,654.32-30.08j,655.77-30.1j,654.03-29.98j,653.85-30.02j,655.13-30.19j,654.78-30.14j,655.08-30.05j,654.56-30.05j,653.75-30.04j,654.2-29.86j,483.43-20.52j,490.08-22.35j,489.18-22.29j,484.12-20.56j,483.66-20.75j,483.28-20.87j,483.36-20.88j,483.46-20.94j,483.42-20.91j,483.47-21.1j,483.52-21.29j,483.03-20.86j,482.42-21.02j,482.84-20.96j,483-20.96j,483.26-21.08j,483-20.92j,483.17-21.02j,483.42-21.03j,482.58-20.94j,482.23-20.91j,482.7-21j,482.69-21.09j,482.82-20.99j,482.68-20.88j,482.37-20.87j,482.56-20.93j,482.95-20.93j,482.5-20.79j,482.66-20.87j,482.62-20.75j,481.93-20.56j,482.3-20.47j,482.7-20.63j,482.49-20.66j,481.86-20.69j,482.21-20.6j,481.97-19.98j,481.64-19.96j,482-20.05j,482.06-20.06j,481.38-20.13j,481.42-20.17j,481.76-20.16j,481.87-20.01j,481.98-19.98j,482.09-20.08j,481.55-20.14j,481.46-20.01j,481.52-19.99j
651.41-30.01j,651.27-29.74j,651.43-29.78j,651.26-29.95j,652.37-29.91j,651.74-30.16j,651.97-29.96j,652.81-29.75j,650.4-29.98j,651.22-29.97j,651.51-30.06j,650.65-30.06j,651.3-29.94j,651.62-30.2j,651.52-30.15j,651.31-30.12j,651.58-30.07j,651.38-29.91j,651.48-30.15j,651.41-30.23j,650.95-30.23j,651.23-29.99j,651.28-30.03j,650.54-30.09j,650.6-29.87j,651.09-30.11j,650.15-30.01j,650.64-30.14j,650.93-30.05j,650.15-29.99j,647.97-30.22j,648.17-30.02j,648.34-30.08j,647.68-30.1j,648.52-30.22j,648.28-30.06j,648.84-30.12j,648.29-30.24j,648.93-30.25j,647.93-30.2j,648.49-30.22j,647.86-30.15j,648.59-30.29j,648.57-30.2j,648.25-30.28j,648.39-30.07j,648.24-30.11j,648.27-30.2j,648.17-30.15j,648.89-30.15j,648.14-30.17j,648.34-30.3j,648.39-30.28j,647.11-30.16j,647.71-30.24j,648.24-30.06j,648.33-30.14j,648.24-30.15j,647.61-30.21j,648.39-30.2j,653.68-30.55j,653.2-30.55j,653.11-30.57j,653.6-30.45j,653.17-30.46j,654.16-30.45j,654.17-30.56j,654.4-30.5j,654.68-30.48j,654.75-30.85j,653.78-30.45j,654.61-30.41j,653.84-30.45j,653.96-30.6j,654.12-30.53j,654.37-30.5j,653.72-30.46j,654.11-30.58j,654.47-30.66j,654.45-30.72j,653.71-30.6j,655.26-30.47j,653.5-30.35j,653.6-30.5j,654.76-30.49j,654.42-30.55j,654.46-30.53j,654.21-30.44j,653.46-30.55j,653.79-30.44j,482.98-21.36j,489.85-22.77j,488.87-22.76j,483.91-21.21j,483.45-21.34j,482.92-21.19j,483.13-21.2j,483.15-21.35j,483.02-21.65j,483.14-21.47j,482.97-21.76j,482.58-21.49j,482.12-21.44j,482.61-21.47j,482.7-21.53j,483.05-21.78j,482.54-21.54j,482.76-21.58j,482.97-21.31j,482.39-21.53j,482.04-21.34j,482.39-21.37j,482.4-21.23j,482.57-21.34j,482.63-21.43j,481.95-21.22j,482.59-21.35j,482.52-21.46j,482.33-21.28j,482.43-21.27j,482.2-21.3j,481.51-21.04j,481.93-21.06j,482.54-21.11j,481.9-21.2j,481.64-21.11j,481.54-20.85j,481.49-20.54j,481.45-20.62j,481.83-20.66j,481.77-20.49j,481.21-20.51j,481.45-20.46j,481.6-20.53j,481.36-20.44j,481.65-20.63j,481.66-20.54j,481.39-20.47j,481.14-20.55j,481.32-20.56j
651.26-29.62j,651.5-30.18j,651.61-30.06j,650.93-30.38j,652.42-29.81j,652.08-30.05j,652.08-29.77j,653.27-29.97j,650.63-30.49j,650.68-29.95j,651.67-30.55j,650.72-30.64j,651.57-30.34j,651.1-30.4j,650.8-29.98j,650.87-30.46j,651.35-29.74j,651.77-30.09j,650.9-30.38j,650.96-30.59j,650.62-30.77j,650.92-29.77j,651.68-30.19j,650.44-29.67j,651.1-30.13j,650.89-30.82j,649.72-30.44j,650.76-30.37j,651.26-30.42j,649.68-30.4j,648.38-30.52j,648.57-30.48j,648.17-29.65j,647.97-30.33j,648.65-30.74j,648.63-30.35j,648.62-29.74j,647.69-30.11j,648.31-30.42j,647.38-30.76j,648.68-30.59j,648.16-29.94j,648.72-30.13j,647.96-30.73j,647.88-30.76j,648.57-30.52j,647.83-30.56j,648.35-30.11j,648.42-29.88j,649.02-30.75j,648.24-30.58j,648.61-30.02j,648.19-29.9j,647.55-30.41j,647.46-29.66j,648.27-29.73j,647.7-30.64j,648.13-30j,647.22-30.36j,648.58-30.24j,653.82-30.81j,653.33-30.13j,652.68-30.41j,653.72-30.13j,652.81-31.01j,653.88-30.23j,653.55-30.56j,654.33-30.27j,654.51-30.17j,655.03-30.59j,653.5-29.9j,655.15-30.66j,653.58-31.13j,653.75-30.18j,653.58-30.95j,653.88-30.27j,653.59-31.17j,654.24-31.03j,653.99-30.78j,654.38-31.22j,654.22-30.86j,655.61-30.78j,653.38-31.02j,653.16-31.01j,654.73-30.97j,654.83-30.43j,654.67-31.11j,654.19-31.14j,652.92-30.4j,653.4-30.3j,483.21-21.52j,489.73-23.32j,488.66-23.49j,483.23-21.23j,483.16-21.48j,482.93-21.9j,483.2-21.35j,482.69-21.33j,482.88-21.4j,483.34-21.39j,483.01-21.75j,482.75-21.75j,482-21.97j,482.21-21.8j,482.42-21.19j,482.95-22.13j,483.1-21.55j,482.29-21.5j,482.86-21.1j,481.99-21.71j,481.6-21.56j,481.83-21.86j,482.2-21.34j,482.77-21.68j,481.89-21.45j,481.97-21.82j,482.03-21.36j,482.25-21.64j,482.51-21.31j,481.8-21.59j,482.15-21.75j,481.33-21.18j,481.49-21.12j,482.34-21.78j,481.9-21.56j,481.87-21.41j,481.78-21.45j,481.03-20.45j,481.48-21.04j,481.14-20.96j,481.65-21.09j,480.81-21j,481.02-20.67j,481.4-20.49j,481.69-20.91j,481.05-21.11j,481.36-20.61j,480.95-20.32j,480.9-20.78j,480.84-21.04j
