610.1-22.73j,610.06-22.88j,610.47-22.25j,611.33-23.06j,610.06-22.78j,610.47-22.62j,610.98-22.38j,610.99-22.55j,610.97-22.97j,611.29-22.86j,610.64-22.48j,611.06-23.03j,609.17-22.25j,610.05-23.15j,610.46-22.58j,610.48-23.05j,609.91-22.85j,611.08-23.35j,610.48-22.28j,610.96-23.13j,610.68-22.85j,610.54-22.53j,610.15-22.14j,611.18-23.26j,610.46-22.85j,610.42-22.55j,610.85-22.16j,611.37-22.91j,609.9-22.21j,610.87-22.35j
610.46-23.36j,610.14-23.35j,610.23-23.26j,610.45-23.37j,610.22-23.38j,610.4-23.38j,610.52-23.35j,610.85-23.37j,610.56-23.37j,610.6-23.42j,610.13-23.29j,610.23-23.43j,609.77-23.4j,609.89-23.29j,609.84-23.29j,609.88-23.29j,610.14-23.33j,610.39-23.54j,610.31-23.33j,610.13-23.36j,610.08-23.39j,609.83-23.41j,610-23.32j,611.02-23.38j,610.91-23.49j,610.53-23.35j,610.48-23.31j,610.62-23.36j,610.04-23.41j,610.62-23.46j
610.12-23.68j,609.95-23.69j,610-23.62j,610.16-23.57j,610.08-23.67j,610.09-23.74j,610.27-23.61j,610.42-23.6j,610.28-23.65j,610.35-23.71j,609.94-23.62j,609.86-23.72j,609.45-23.45j,609.67-23.66j,609.71-23.52j,609.61-23.67j,609.73-23.69j,610.27-23.73j,610.25-23.68j,609.88-23.7j,609.86-23.64j,609.52-23.57j,609.87-23.66j,610.7-23.73j,610.71-23.65j,610.26-23.69j,610.27-23.6j,610.39-23.75j,610.02-23.58j,610.23-23.68j
609.59-24.17j,609.31-23.58j,609.49-23.47j,610.2-24.14j,609.31-23.87j,609.97-23.36j,610-23.37j,610.52-23.42j,610.49-23.72j,610.6-23.86j,609.88-23.58j,609.73-24.28j,609.08-24.25j,609-23.71j,609.29-23.37j,609.89-24.08j,609.69-24.35j,609.81-24.28j,609.54-23.69j,609.67-24.19j,610.02-23.92j,609.76-23.89j,609.32-23.55j,610.73-24.18j,610.54-24.27j,609.99-23.6j,609.87-23.55j,610.63-24.15j,609.21-23.65j,610.18-23.54j
609.08-24.05j,609.19-24.51j,609.9-23.82j,610.05-24.07j,609.33-23.76j,609.32-24.16j,610.3-24.08j,609.56-23.92j,610.1-24.7j,609.96-23.8j,609.76-24.42j,609.75-24.07j,608.75-24.13j,609.34-24.66j,609.74-23.99j,609.35-23.66j,608.87-24.25j,610.01-24.58j,609.83-23.65j,609.91-24.18j,609.44-24.71j,609.05-23.84j,609.75-23.89j,610.68-23.96j,609.76-24.37j,609.35-24.31j,610.17-24.06j,610.12-23.8j,609.46-23.74j,609.5-24.12j
609.29-24.72j,608.95-24.67j,609.27-24.72j,609.29-24.74j,609.27-24.77j,609.32-24.67j,609.47-24.78j,609.67-24.66j,609.47-24.75j,609.47-24.71j,609-24.68j,609.1-24.69j,608.62-24.71j,608.76-24.61j,608.84-24.68j,608.8-24.64j,609-24.7j,609.27-24.74j,609.38-24.79j,609.02-24.69j,608.98-24.63j,608.74-24.66j,609.09-24.67j,609.83-24.8j,609.81-24.79j,609.39-24.74j,609.4-24.79j,609.51-24.73j,609.05-24.7j,609.39-24.77j
609.04-25.19j,608.72-25.1j,608.94-25.14j,608.92-25.16j,608.92-25.11j,609.08-25.12j,609.09-25.18j,609.26-25.11j,609.16-25.13j,609.17-25.11j,608.74-25.14j,608.77-25.14j,608.48-25j,608.53-25.12j,608.5-25.11j,608.42-25.13j,608.7-25.11j,609-25.12j,609.09-25.22j,608.65-25.18j,608.8-25.06j,608.46-25.09j,608.78-25.13j,609.43-25.08j,609.46-25.1j,609.06-25.21j,609.11-25.19j,609.19-25.16j,608.77-25.16j,609.26-25.1j
608.7-25.41j,608.5-25.48j,608.66-25.46j,608.77-25.38j,608.54-25.3j,608.68-25.37j,608.77-25.38j,609.01-25.51j,608.85-25.48j,608.9-25.41j,608.45-25.39j,608.53-25.44j,608.21-25.38j,608.32-25.36j,608.2-25.33j,608.27-25.31j,608.35-25.42j,608.79-25.48j,608.76-25.43j,608.35-25.27j,608.42-25.31j,608.08-25.28j,608.43-25.44j,609.2-25.41j,609.28-25.39j,608.83-25.41j,608.79-25.5j,608.87-25.36j,608.39-25.48j,608.9-25.41j
608.24-25.84j,608.12-25.74j,608.2-25.78j,608.3-25.64j,608.27-25.8j,608.41-25.79j,608.43-25.69j,608.83-25.7j,608.54-25.83j,608.47-25.75j,608.12-25.71j,608.09-25.73j,607.72-25.74j,607.95-25.8j,607.89-25.74j,607.82-25.69j,608.07-25.79j,608.51-25.76j,608.49-25.73j,608.05-25.82j,608.04-25.85j,607.69-25.7j,608.02-25.77j,608.95-25.87j,608.81-25.81j,608.34-25.77j,608.4-25.79j,608.53-25.9j,608.13-25.75j,608.58-25.83j
608.06-26.09j,607.89-26.11j,608-26.25j,608.06-26.25j,608-26.14j,607.93-26.11j,608.09-26.24j,608.34-26.24j,608.09-26.32j,608.18-26.31j,607.73-26.29j,607.82-26.11j,607.58-26.21j,607.62-26.1j,607.59-26.13j,607.6-26.15j,607.63-26.13j,608.04-26.28j,608.01-26.28j,607.73-26.36j,607.82-26.28j,607.32-26.16j,607.67-26.25j,608.35-26.28j,608.6-26.25j,608.07-26.2j,608.01-26.35j,608.26-26.2j,607.74-26.16j,608.17-26.16j
607.88-25.79j,607.83-26.62j,608.31-25.98j,607.41-26.08j,607.83-25.72j,607.86-26.54j,608.34-26.42j,607.73-26.32j,607.71-26.54j,607.67-25.92j,607.86-26.64j,607.5-25.92j,607.38-25.86j,607.63-26.07j,607.86-26.33j,607.25-25.78j,607.17-26j,607.79-25.9j,608.12-25.92j,607.52-25.99j,607.36-26.51j,606.8-26.33j,608.06-26.23j,608.5-25.75j,607.78-26.21j,607.61-26.57j,608.17-26.65j,607.76-25.9j,608.08-26.31j,608.23-26.61j
607.95-26.88j,607.62-26.53j,607.51-27.04j,607.48-27.07j,607.88-26.85j,608.04-26.55j,607.64-27.21j,608.14-26.99j,607.55-26.37j,607.41-27.05j,607.08-26.75j,607.01-26.87j,607.3-26.76j,606.71-26.67j,606.77-26.96j,606.65-26.98j,607.62-26.37j,607.27-26.64j,608.1-27.05j,606.86-26.69j,606.89-26.31j,607.26-26.92j,607.51-27.14j,607.62-26.61j,608.44-26.38j,608.09-27.06j,607.29-26.83j,607.66-27.06j,607.3-27.08j,608.3-26.74j
607-27.5j,606.65-27.1j,606.83-27.05j,607.69-27.06j,606.99-27.48j,607.11-26.83j,607.06-27.24j,607.76-26.86j,607.98-27.01j,607.74-27.25j,606.86-26.74j,607.33-27.4j,606.38-27.39j,606.99-27.57j,606.49-26.86j,606.88-27.47j,607.18-27.5j,607.39-27.51j,607.14-27.54j,606.94-27.57j,607.33-26.67j,606.99-26.66j,606.77-27.21j,607.67-27.45j,607.94-27.5j,607.43-26.73j,607.25-26.71j,607.88-27.22j,606.86-26.96j,607.35-26.74j
606.66-27.58j,606.59-27.69j,606.73-27.73j,606.79-27.78j,606.67-27.67j,606.75-27.64j,606.71-27.73j,607.15-27.73j,607-27.79j,606.85-27.75j,606.51-27.75j,606.54-27.7j,606.27-27.74j,606.35-27.62j,606.37-27.72j,606.36-27.66j,606.33-27.68j,606.78-27.82j,606.82-27.76j,606.55-27.82j,606.6-27.71j,606.05-27.67j,606.51-27.83j,607.17-27.7j,607.45-27.64j,606.89-27.59j,606.83-27.81j,606.92-27.69j,606.54-27.66j,606.88-27.63j
606.86-28.25j,606.55-27.52j,606.31-28.3j,606.41-28.21j,606.7-28.22j,606.93-27.61j,606.2-28.05j,607.27-28.17j,606.54-27.69j,606.57-28.39j,606.05-27.64j,605.78-28.03j,606.29-28.03j,605.6-27.9j,605.78-28.32j,605.72-28.29j,606.44-27.62j,606.15-27.95j,607.03-28.21j,605.71-27.92j,605.83-27.79j,606.16-28.27j,606.26-28.33j,606.56-27.96j,607.27-27.78j,606.97-27.97j,606.41-28.04j,606.81-28.45j,605.84-27.83j,606.98-28.01j
606-28.47j,605.96-28.42j,606.04-28.42j,606-28.46j,606.06-28.41j,606.15-28.44j,606.17-28.37j,606.35-28.52j,606.17-28.4j,606.27-28.4j,605.91-28.37j,605.79-28.45j,605.58-28.38j,605.64-28.3j,605.61-28.34j,605.56-28.39j,605.68-28.4j,606.09-28.39j,606.22-28.49j,605.79-28.45j,605.86-28.49j,605.46-28.41j,605.72-28.44j,606.47-28.4j,606.68-28.44j,606.17-28.43j,606.22-28.47j,606.21-28.49j,605.88-28.41j,606.24-28.49j
606.31-28.35j,605.88-28.86j,606.2-28.79j,605.63-28.6j,605.92-28.13j,606.08-28.93j,606.05-28.99j,606.29-29.1j,605.72-28.86j,605.52-28.63j,605.34-28.91j,605.45-28.24j,605.51-28.23j,605.29-28.29j,605.4-28.96j,605.05-28.72j,605.16-28.42j,605.96-28.41j,606.25-28.33j,605.3-28.46j,605.27-28.82j,605.06-28.95j,606.13-28.67j,606.27-28.09j,606.25-28.16j,606.34-28.96j,606.04-29.1j,605.64-28.68j,605.66-29.09j,606.1-29.02j
605.42-29.19j,605.16-29.07j,605.34-29.11j,605.31-29.11j,605.32-29.23j,605.43-29.11j,605.37-29.2j,605.75-29.22j,605.62-29.25j,605.45-29.15j,605.23-29.19j,605.14-29.15j,604.82-29.13j,604.99-29.05j,604.97-29.12j,604.82-29.26j,605.01-29.11j,605.52-29.14j,605.51-29.09j,605.12-29.18j,605.09-29.17j,604.85-29.14j,605.2-29.18j,605.87-29.04j,605.93-29.27j,605.47-29.21j,605.53-29.16j,605.61-29.17j,605.17-29.14j,605.51-29.19j
604.74-29.17j,604.72-29.85j,605.14-29.16j,604.88-29.11j,604.6-29.39j,604.98-29.86j,605.36-29.52j,605.35-29.87j,605.43-29.89j,605.06-29.2j,605.18-29.77j,604.99-29.18j,604.2-29.24j,604.91-29.11j,604.82-29.6j,604.15-29.25j,604.44-29.82j,605.39-29.26j,605.21-29.17j,604.98-29.11j,604.91-29.91j,603.97-29.29j,604.97-29.18j,605.74-29.32j,605.15-29.58j,605.2-29.99j,605.6-29.63j,604.87-29.28j,605.18-29.78j,605.1-29.92j
604.55-30.05j,604.42-29.98j,604.44-29.98j,604.51-29.98j,604.45-29.88j,604.61-30.06j,604.54-30.14j,604.81-29.98j,604.8-30.04j,604.65-30.09j,604.34-29.96j,604.34-29.92j,603.97-29.93j,604.12-29.92j,604.22-30j,603.97-29.9j,604.15-29.95j,604.56-30.05j,604.61-30j,604.32-29.91j,604.49-29.99j,603.95-29.91j,604.31-29.93j,605.06-30j,604.97-30.01j,604.53-29.9j,604.63-30.05j,604.79-30.06j,604.37-29.95j,604.59-30.03j
603.94-29.93j,603.71-30.25j,604.7-29.94j,604.54-29.96j,603.9-29.97j,604.05-30.21j,604.68-30.33j,604.36-30.54j,604.74-30.61j,604.55-29.77j,604.31-30.48j,604.34-30.24j,603.47-30.03j,604.32-30.07j,604.09-29.74j,603.88-29.73j,603.59-30.19j,604.77-30.3j,604.45-29.81j,604.32-30.22j,603.86-30.58j,603.44-29.99j,604.34-29.84j,604.99-29.84j,604.58-30.59j,604.59-30.61j,604.44-30.58j,604.43-29.78j,604.53-30.07j,604.16-30.46j
603.93-30.62j,603.65-30.74j,603.77-30.71j,603.97-30.69j,603.83-30.63j,603.9-30.78j,603.99-30.77j,604.26-30.82j,604.16-30.73j,604.04-30.69j,603.75-30.59j,603.73-30.72j,603.45-30.63j,603.44-30.66j,603.36-30.65j,603.39-30.67j,603.55-30.69j,603.94-30.79j,604.09-30.71j,603.67-30.8j,603.58-30.76j,603.34-30.59j,603.72-30.65j,604.37-30.63j,604.39-30.78j,603.98-30.65j,604.06-30.78j,604.01-30.7j,603.75-30.73j,604.13-30.74j
603.27-30.92j,603.05-30.97j,603.89-30.81j,604-30.86j,603.19-31.16j,603.47-30.83j,603.85-30.93j,603.73-31.32j,604.25-31.18j,603.4-30.9j,603.83-31.02j,603.74-30.96j,602.59-31.13j,603.55-31.23j,603.08-30.72j,603.3-30.73j,603.02-31.36j,604.01-31.33j,603.65-30.74j,603.59-31.19j,603.54-31.38j,602.89-30.59j,603.4-30.78j,604.29-31.12j,604.07-31.44j,603.43-31.41j,604.02-31.36j,603.94-30.76j,603.55-30.75j,603.19-30.86j
603.17-31.56j,602.86-31.56j,603.04-31.6j,603.09-31.48j,603.07-31.56j,603.21-31.63j,603.07-31.5j,603.4-31.6j,603.27-31.72j,603.21-31.57j,602.93-31.56j,602.86-31.56j,602.58-31.4j,602.73-31.56j,602.54-31.47j,602.58-31.48j,602.68-31.57j,603.21-31.57j,603.18-31.63j,602.83-31.58j,602.86-31.67j,602.52-31.53j,602.89-31.56j,603.47-31.56j,603.52-31.54j,603.1-31.59j,603.16-31.51j,603.33-31.57j,602.98-31.46j,603.15-31.52j
602.68-31.86j,602.54-31.8j,602.62-31.91j,602.55-31.86j,602.64-31.96j,602.77-31.91j,602.55-31.96j,602.91-32.02j,602.85-31.99j,602.8-31.96j,602.58-31.93j,602.37-31.93j,602.23-31.94j,602.2-31.97j,602.17-31.81j,602.13-31.94j,602.29-31.94j,602.65-32.01j,602.8-31.96j,602.33-31.92j,602.33-32.05j,601.89-31.93j,602.39-32.03j,603.12-31.91j,603.21-32.01j,602.59-32.02j,602.85-31.93j,602.85-32.01j,602.5-31.8j,602.8-31.92j
602.73-32.31j,601.99-32.04j,602.18-32.65j,601.99-32.36j,602.62-32.1j,602.75-32.42j,602.03-32.55j,602.8-31.96j,602.16-32.25j,602.7-32.47j,601.85-32.13j,602.25-32.58j,602.17-32.31j,601.66-32.15j,602.03-32.46j,601.63-32.49j,602.08-31.78j,602.25-32.14j,602.68-32.68j,601.82-32.05j,602-31.9j,601.94-32.48j,601.93-32.48j,602.43-32.09j,602.8-31.8j,602.65-32j,602.12-31.95j,602.39-32.64j,602.15-32.55j,602.76-32.45j
601.74-32.81j,601.58-32.81j,601.58-32.78j,601.72-32.73j,601.53-32.77j,601.75-32.87j,601.74-32.88j,602.02-32.9j,601.94-32.91j,601.93-32.81j,601.6-32.74j,601.43-32.78j,601.18-32.69j,601.31-32.7j,601.07-32.82j,601.18-32.73j,601.32-32.81j,601.76-32.87j,601.82-32.82j,601.42-32.75j,601.54-32.92j,601.03-32.84j,601.47-32.82j,602.07-32.83j,602.24-32.84j,601.85-32.87j,601.91-32.82j,601.85-32.89j,601.55-32.81j,601.71-32.82j
601.35-33.23j,601.13-33.12j,601.2-33.22j,601.24-33.22j,601.22-33.15j,601.35-33.2j,601.23-33.25j,601.59-33.29j,601.5-33.22j,601.35-33.2j,601.2-33.22j,601.01-33.11j,600.81-33.19j,600.97-33.15j,600.8-33.07j,600.74-33.25j,600.95-33.19j,601.44-33.23j,601.46-33.26j,600.98-33.15j,601.12-33.2j,600.64-33j,601.16-33.22j,601.71-33.2j,601.82-33.27j,601.33-33.21j,601.49-33.28j,601.41-33.22j,601.14-33.24j,601.44-33.29j
600.91-33.18j,601-33.19j,601.35-33.3j,600.99-33.18j,600.66-33.56j,601.11-33.87j,601.32-33.63j,601.31-33.84j,601.44-33.8j,601.02-33.91j,601.06-33.81j,600.44-33.48j,600.42-33.24j,601.04-33.5j,600.81-33.05j,600.18-33.38j,600.26-33.52j,601.32-33.48j,601.49-33.26j,601.07-33.51j,600.73-33.82j,600.02-33.42j,601.29-33.56j,601.82-33.19j,601.14-33.76j,601.08-33.98j,601.2-33.99j,600.87-33.4j,601.18-33.33j,601.12-33.81j
